x1,x2,y
1.69668,2.01977,0
1.37933,1.36848,1.06535e+09
1.95504,1.84672,0
1.61399,1.10749,1.06535e+09
2.15131,1.97969,0
2.3684,2.86878,0
1.53367,1.66209,1.06535e+09
1.5592,1.78899,1.06535e+09
1.59274,1.22786,1.06535e+09
1.41591,1.5841,1.06535e+09
1.72987,1.4263,1.06535e+09
1.60266,1.60652,1.06535e+09
1.94148,1.77676,0
1.5253,1.26942,1.06535e+09
1.36993,1.53224,1.06535e+09
2.0788,2.03825,0
1.55376,1.68851,1.06535e+09
1.45681,1.81501,1.06535e+09
1.49103,1.30691,1.06535e+09
1.369,1.62148,1.06535e+09
1.96319,1.49797,1.06535e+09
1.04502,1.43442,1.06535e+09
2.52316,1.96491,0
1.91386,2.23815,0
1.47988,2.13314,1.06535e+09
1.45785,1.99655,1.06535e+09
2.15631,1.68554,0
0.900924,1.92072,1.06535e+09
1.69174,1.32935,1.06535e+09
2.16502,2.59738,0
2.22239,2.31634,0
1.53826,1.50862,1.06535e+09
1.39863,1.57939,1.06535e+09
2.12872,1.65462,0
1.31946,1.86996,1.06535e+09
1.47259,1.72337,1.06535e+09
2.33615,2.00409,0
1.60323,1.29905,1.06535e+09
1.37996,1.36062,1.06535e+09
2.49691,2.00568,0
1.85738,1.72796,1.06535e+09
1.46771,1.8577,1.06535e+09
1.79041,1.96107,0
1.93693,2.07434,0
1.01628,1.90036,1.06535e+09
2.07085,1.81599,0
1.9858,2.47282,0
2.08244,1.76383,0
1.4883,2.11519,1.06535e+09
1.78342,1.35266,1.06535e+09
2.25794,2.26455,0
2.03334,2.21566,0
1.42312,0.831074,1.06535e+09
1.82317,2.35554,0
2.10704,2.8736,0
1.57588,2.16291,0
2.51715,1.79405,0
1.93951,2.14989,0
1.96467,2.14005,0
1.9156,1.48695,1.06535e+09
1.71271,2.55576,0
1.66157,1.23488,1.06535e+09
1.1251,1.69902,1.06535e+09
1.31055,1.4497,1.06535e+09
1.8223,1.95656,0
1.88781,1.94269,0
2.09264,2.04472,0
1.81209,1.69226,1.06535e+09
1.3606,2.11976,1.06535e+09
1.70451,1.98186,0
1.70166,1.40004,1.06535e+09
1.60912,1.47416,1.06535e+09
2.01911,2.15201,0
1.06439,1.17508,1.06535e+09
2.54418,2.17597,0
1.56573,1.72338,1.06535e+09
1.43288,1.05412,1.06535e+09
2.1028,2.42651,0
1.28463,1.26576,1.06535e+09
1.76888,2.33906,0
1.67498,1.6047,1.06535e+09
2.57833,2.51157,0
1.91555,2.16302,0
1.40381,2.41364,0
1.66998,1.77187,1.06535e+09
2.66119,2.16618,0
1.44638,1.81005,1.06535e+09
1.70413,1.52824,1.06535e+09
1.73507,2.01507,0
1.61644,2.19985,0
2.67418,2.03602,0
2.17898,2.28057,0
2.34002,1.68673,0
1.83922,1.64394,1.06535e+09
1.52762,1.42656,1.06535e+09
1.27045,1.85791,1.06535e+09
1.78577,1.33602,1.06535e+09
1.8093,1.93292,0
2.00745,2.49143,0
0.893835,1.41827,1.06535e+09
1.49435,1.81917,1.06535e+09
1.62024,1.86502,1.06535e+09
1.79369,1.5748,1.06535e+09
1.617,2.3339,0
1.94773,2.12721,0
1.72012,1.29497,1.06535e+09
1.34188,1.41476,1.06535e+09
2.47358,2.05952,0
2.24581,2.12362,0
1.87898,1.26833,1.06535e+09
1.83243,1.55206,1.06535e+09
1.51311,1.7114,1.06535e+09
1.53939,1.82608,1.06535e+09
1.84028,2.28526,0
2.10795,1.20136,1.06535e+09
1.77631,1.53094,1.06535e+09
1.18421,1.91773,1.06535e+09
1.34283,1.86918,1.06535e+09
1.69681,1.42342,1.06535e+09
2.04737,1.90162,0
1.28673,1.80728,1.06535e+09
2.85791,2.11422,0
1.44751,1.89969,1.06535e+09
1.40455,1.66158,1.06535e+09
1.26605,2.09623,1.06535e+09
