x1,x2,y
1.94945,2.00329,0
1.47989,1.47808,1.06535e+09
1.99251,1.97445,0
1.519,1.43458,1.06535e+09
2.02522,1.99662,0
2.0614,2.1448,0
1.92228,1.94368,0
1.50987,1.54816,1.06535e+09
1.51546,1.45464,1.06535e+09
1.90265,1.93068,0
1.53831,1.48772,1.06535e+09
1.51711,1.51775,1.06535e+09
1.99025,1.96279,0
1.50422,1.46157,1.06535e+09
1.47832,1.50537,1.06535e+09
2.01313,2.00637,0
1.50896,1.53142,1.06535e+09
1.4928,1.5525,1.06535e+09
1.4985,1.46782,1.06535e+09
1.89483,1.93691,0
1.99387,1.91633,0
1.42417,1.48907,1.06535e+09
2.08719,1.99415,0
1.98564,2.03969,0
1.49665,1.60552,1.06535e+09
1.49297,1.58276,1.06535e+09
1.60939,1.53092,1.06535e+09
1.40015,1.57012,1.06535e+09
1.53196,1.47156,1.06535e+09
2.0275,2.09956,0
2.03707,2.05272,0
1.50638,1.50144,1.06535e+09
1.4831,1.51323,1.06535e+09
2.02145,1.94244,0
1.46991,1.56166,1.06535e+09
1.49543,1.53723,1.06535e+09
2.05603,2.00068,0
1.5172,1.46651,1.06535e+09
1.47999,1.47677,1.06535e+09
2.08282,2.00095,0
1.55956,1.53799,1.06535e+09
1.91128,1.97628,0
1.5484,1.57685,1.06535e+09
1.98949,2.01239,0
1.41938,1.56673,1.06535e+09
2.01181,1.96933,0
1.99763,2.0788,0
2.01374,1.96064,0
1.91472,2.0192,0
1.54724,1.47544,1.06535e+09
2.04299,2.04409,0
2.00556,2.03594,0
1.48719,1.38851,1.06535e+09
1.97053,2.05926,0
2.01784,2.1456,0
1.92931,2.02715,0
2.08619,1.96568,0
1.98992,2.02498,0
1.99411,2.02334,0
1.56927,1.49783,1.06535e+09
1.95212,2.09263,0
1.52693,1.45581,1.06535e+09
1.43752,1.53317,1.06535e+09
1.46842,1.49162,1.06535e+09
1.97038,1.99276,0
1.56464,1.57378,1.06535e+09
2.01544,2.00745,0
1.96868,1.94871,0
1.47677,1.60329,1.06535e+09
1.95075,1.99698,0
1.53361,1.48334,1.06535e+09
1.51819,1.49569,1.06535e+09
2.00319,2.02533,0
1.4274,1.44585,1.06535e+09
2.0907,2.02933,0
1.92762,1.9539,0
1.48881,1.42569,1.06535e+09
2.01713,2.07108,0
1.46411,1.46096,1.06535e+09
1.96148,2.05651,0
1.52916,1.51745,1.06535e+09
2.09639,2.08526,0
1.98592,2.02717,0
1.90064,2.06894,0
1.52833,1.54531,1.06535e+09
2.1102,2.0277,0
1.49106,1.55167,1.06535e+09
1.53402,1.50471,1.06535e+09
1.95584,2.00251,0
1.93607,2.03331,0
2.11236,2.006,0
2.02983,2.04676,0
2.05667,1.94779,0
1.55654,1.52399,1.06535e+09
1.5046,1.48776,1.06535e+09
1.46174,1.55965,1.06535e+09
1.54763,1.47267,1.06535e+09
1.55155,1.57215,1.06535e+09
2.00124,2.08191,0
1.39897,1.48638,1.06535e+09
1.49906,1.55319,1.06535e+09
1.52004,1.56084,1.06535e+09
1.54895,1.51247,1.06535e+09
1.93617,2.05565,0
1.99129,2.0212,0
1.53669,1.46583,1.06535e+09
1.47365,1.48579,1.06535e+09
2.07893,2.00992,0
2.04097,2.0206,0
1.56316,1.46139,1.06535e+09
1.5554,1.50868,1.06535e+09
1.91885,1.9519,0
1.92323,1.97101,0
1.97338,2.04754,0
2.01799,1.86689,0
1.54605,1.50516,1.06535e+09
1.44737,1.56962,1.06535e+09
1.89047,1.9782,0
1.5328,1.48724,1.06535e+09
2.00789,1.9836,0
1.46445,1.55121,1.06535e+09
2.14299,2.01904,0
1.49125,1.56661,1.06535e+09
1.48409,1.52693,1.06535e+09
1.46101,1.59937,1.06535e+09
1.95124,1.97386,0
1.52051,1.54398,1.06535e+09
1.4828,1.44572,1.06535e+09
1.89079,2.03995,0
1.52364,1.5092,1.06535e+09
1.49475,1.51612,1.06535e+09
2.05159,1.98753,0
1.46484,1.5593,1.06535e+09
1.98021,2.00035,0
2.07197,2.09689,0
1.4327,1.43979,1.06535e+09
2.00007,1.95393,0
2.00566,1.97152,0
1.51202,1.55451,1.06535e+09
1.44391,1.4615,1.06535e+09
1.43581,1.45049,1.06535e+09
1.49549,1.45906,1.06535e+09
1.41662,1.44269,1.06535e+09
1.98399,1.94027,0
1.50732,1.51861,1.06535e+09
2.06568,1.91627,0
1.49435,1.44788,1.06535e+09
2.04556,2.05377,0
1.53749,1.51297,1.06535e+09
1.42215,1.52536,1.06535e+09
1.94917,2.00683,0
1.97046,1.98935,0
1.60328,1.45784,1.06535e+09
1.98168,1.90814,0
1.97441,2.03231,0
2.04279,1.98811,0
1.95924,1.97391,0
1.50176,1.5039,1.06535e+09
1.45908,1.52694,1.06535e+09
1.97311,1.98275,0
1.4801,1.53655,1.06535e+09
1.55272,1.49975,1.06535e+09
1.51045,1.52527,1.06535e+09
1.95466,2.06798,0
1.45603,1.47295,1.06535e+09
1.52828,1.51907,1.06535e+09
1.92804,2.04745,0
1.96448,2.02835,0
1.97496,2.03817,0
1.54739,1.46723,1.06535e+09
2.00396,1.99357,0
1.41418,1.45701,1.06535e+09
1.49965,1.6077,1.06535e+09
2.01377,2.00087,0
1.46953,1.4623,1.06535e+09
1.53358,1.55191,1.06535e+09
1.57311,1.43867,1.06535e+09
1.56772,1.44323,1.06535e+09
1.50654,1.41578,1.06535e+09
2.06582,1.9822,0
2.02922,2.02736,0
1.53579,1.50638,1.06535e+09
1.55416,1.46987,1.06535e+09
2.02313,2.03296,0
1.51484,1.50079,1.06535e+09
2.06286,2.0488,0
1.47949,1.44675,1.06535e+09
1.56485,1.56682,1.06535e+09
1.98186,1.98689,0
2.0489,1.94031,0
1.41897,1.4529,1.06535e+09
1.48643,1.418,1.06535e+09
2.07075,1.98225,0
1.98184,1.99594,0
1.94391,2.048,0
1.99486,1.97707,0
1.55296,1.48307,1.06535e+09
1.52931,1.41733,1.06535e+09
2.01166,1.98174,0
1.57843,1.48926,1.06535e+09
2.04561,2.06528,0
1.9712,1.97359,0
1.45131,1.54279,1.06535e+09
1.5464,1.49996,1.06535e+09
1.49094,1.52135,1.06535e+09
2.04466,1.98594,0
2.05266,2.00257,0
1.96163,2.02655,0
2.05975,2.03357,0
1.58056,1.46659,1.06535e+09
1.92329,2.00526,0
2.00808,1.96636,0
1.99618,1.9872,0
1.53726,1.46411,1.06535e+09
1.53053,1.53813,1.06535e+09
1.51212,1.55917,1.06535e+09
2.08185,1.94651,0
1.52953,1.51665,1.06535e+09
1.61162,1.47993,1.06535e+09
1.99028,1.99069,0
1.48635,1.44878,1.06535e+09
2.0694,2.00756,0
1.97111,2.06211,0
1.29642,1.52256,1.06535e+09
2.03053,2.06087,0
1.51005,1.53156,1.06535e+09
2.03039,1.97946,0
1.56319,1.54098,1.06535e+09
1.44456,1.55304,1.06535e+09
1.9897,2.11206,0
2.07423,1.9218,0
1.93527,1.95233,0
2.0681,1.96924,0
1.42777,1.43763,1.06535e+09
1.45949,1.52298,1.06535e+09
1.48462,1.48051,1.06535e+09
1.44124,1.53632,1.06535e+09
2.03172,2.0229,0
1.4887,1.51067,1.06535e+09
2.06491,2.06657,0
2.01125,1.96684,0
1.43454,1.45035,1.06535e+09
1.47282,1.5544,1.06535e+09
1.51184,1.46582,1.06535e+09
2.01091,1.94418,0
1.59185,1.48926,1.06535e+09
1.53456,1.52013,1.06535e+09
2.0592,2.01185,0
2.02209,2.04356,0
1.9861,2.0759,0
1.55004,1.53523,1.06535e+09
1.38609,1.5238,1.06535e+09
1.40846,1.54426,1.06535e+09
1.96169,1.97911,0
1.4879,1.44006,1.06535e+09
1.52414,1.55191,1.06535e+09
1.58059,1.52307,1.06535e+09
1.97036,2.01631,0
1.50874,1.48014,1.06535e+09
1.52484,1.54082,1.06535e+09
1.51751,1.53489,1.06535e+09
1.56985,1.50637,1.06535e+09
1.93683,2.01759,0
2.02741,1.99836,0
1.44883,1.45285,1.06535e+09
1.54768,1.5018,1.06535e+09
1.9859,2.06263,0
2.01454,1.98794,0
1.40505,1.52686,1.06535e+09
1.51105,1.4964,1.06535e+09
2.06339,1.93761,0
1.51057,1.47681,1.06535e+09
1.56589,1.44833,1.06535e+09
1.9927,2.05429,0
1.98197,2.0206,0
1.48667,1.49826,1.06535e+09
1.55386,1.52182,1.06535e+09
2.04224,2.03065,0
2.06828,1.95938,0
1.97221,2.08768,0
2.06707,2.12657,0
1.46535,1.45561,1.06535e+09
1.93678,2.0669,0
2.00666,2.03491,0
1.49556,1.50442,1.06535e+09
2.04732,2.01225,0
1.96105,2.03068,0
1.90797,2.02025,0
1.52869,1.40351,1.06535e+09
2.01349,2.00958,0
1.56403,1.42016,1.06535e+09
1.40509,1.49663,1.06535e+09
1.45214,1.51278,1.06535e+09
1.45918,1.52266,1.06535e+09
1.56231,1.41712,1.06535e+09
1.35054,1.48672,1.06535e+09
1.51509,1.46827,1.06535e+09
1.95641,1.93246,0
2.04827,2.07581,0
2.00436,1.96941,0
1.97947,2.09796,0
1.54268,1.52605,1.06535e+09
1.96446,2.05581,0
1.99639,1.97656,0
1.93948,2.02121,0
1.5013,1.47037,1.06535e+09
1.48215,1.44914,1.06535e+09
1.99022,2.03594,0
2.00885,1.94329,0
2.0127,2.00572,0
1.97329,1.93773,0
1.4974,1.54699,1.06535e+09
1.49014,1.45456,1.06535e+09
2.07025,1.9705,0
2.00499,1.99768,0
1.5436,1.52082,1.06535e+09
2.05743,2.06984,0
1.48837,1.48153,1.06535e+09
1.48729,1.42404,1.06535e+09
1.42675,1.46923,1.06535e+09
2.01155,1.9273,0
1.99187,1.90451,0
1.98783,2.0539,0
1.53145,1.51717,1.06535e+09
2.04656,1.9943,0
2.02115,1.99944,0
1.95869,1.97032,0
1.49228,1.49323,1.06535e+09
1.96637,1.90766,0
1.50445,1.47002,1.06535e+09
1.51304,1.49447,1.06535e+09
2.0073,2.01589,0
2.0003,1.98323,0
1.54397,1.46178,1.06535e+09
1.43132,1.55435,1.06535e+09
1.52043,1.52905,1.06535e+09
1.91693,2.02944,0
1.58934,1.38435,1.06535e+09
1.47455,1.5267,1.06535e+09
1.51245,1.61594,1.06535e+09
1.41754,1.49981,1.06535e+09
1.96632,1.90251,0
2.07341,2.03626,0
1.50121,1.51585,1.06535e+09
1.4467,1.47646,1.06535e+09
1.47702,1.51408,1.06535e+09
2.0851,2.0503,0
1.53161,1.54956,1.06535e+09
1.99757,2.11631,0
2.00007,2.00734,0
1.4309,1.48121,1.06535e+09
1.92784,1.94677,0
1.39216,1.5042,1.06535e+09
2.03009,1.9422,0
1.87927,2.03541,0
2.00427,1.96837,0
1.86569,1.99899,0
2.06118,2.00637,0
1.41979,1.61051,1.06535e+09
1.45659,1.50751,1.06535e+09
1.58658,1.45614,1.06535e+09
2.01579,1.953,0
1.98681,1.98979,0
2.01965,1.94411,0
2.03108,2.0632,0
2.07635,1.98356,0
1.46493,1.47033,1.06535e+09
1.96559,1.92534,0
1.45647,1.49604,1.06535e+09
1.43216,1.46317,1.06535e+09
2.04125,1.96591,0
2.00362,1.98136,0
2.11733,1.89596,0
1.52981,1.50292,1.06535e+09
1.50183,1.5164,1.06535e+09
1.50362,1.51301,1.06535e+09
1.48675,1.513,1.06535e+09
1.95802,1.98715,0
1.9739,1.9702,0
1.55386,1.51842,1.06535e+09
1.9376,2.02635,0
1.56728,1.59383,1.06535e+09
1.96327,1.93809,0
2.0067,1.98094,0
1.49337,1.43726,1.06535e+09
2.11228,1.97932,0
1.92367,2.05684,0
1.47164,1.49089,1.06535e+09
1.47985,1.42092,1.06535e+09
1.45379,1.45635,1.06535e+09
1.55194,1.54536,1.06535e+09
1.91249,2.0344,0
1.9847,1.99622,0
2.01057,2.03551,0
1.43711,1.50725,1.06535e+09
1.9932,2.03551,0
1.98378,1.97592,0
1.52442,1.42436,1.06535e+09
1.4514,1.5356,1.06535e+09
2.03059,2.03288,0
1.46692,1.39208,1.06535e+09
1.39375,1.53482,1.06535e+09
1.57236,1.4784,1.06535e+09
1.51731,1.55408,1.06535e+09
2.04396,1.95191,0
2.00593,1.99731,0
2.08418,2.00368,0
1.94429,2.07466,0
2.04846,1.97931,0
1.95951,1.97463,0
1.45286,1.52729,1.06535e+09
1.447,1.5157,1.06535e+09
2.02292,1.92478,0
1.53815,1.51175,1.06535e+09
1.9331,1.92536,0
1.51027,1.35311,1.06535e+09
1.57816,1.556,1.06535e+09
2.07413,1.97916,0
2.11031,1.99837,0
1.558,1.49356,1.06535e+09
2.02687,2.00815,0
2.12575,2.00319,0
1.54213,1.45772,1.06535e+09
2.00989,2.01588,0
1.39375,1.47096,1.06535e+09
1.97532,1.96873,0
1.48434,1.47412,1.06535e+09
1.57364,1.46688,1.06535e+09
1.4559,1.5443,1.06535e+09
1.5248,1.48722,1.06535e+09
1.96706,2.0208,0
2.04395,2.08993,0
1.52073,1.4519,1.06535e+09
1.99113,1.94586,0
1.97695,2.06389,0
1.92714,1.96409,0
1.97759,1.92859,0
1.92601,2.01241,0
1.43032,1.43163,1.06535e+09
2.00481,2.09384,0
1.46907,1.53694,1.06535e+09
1.50698,1.56776,1.06535e+09
2.07372,1.95182,0
1.45586,1.44388,1.06535e+09
2.06452,1.95021,0
1.50104,1.52124,1.06535e+09
1.48296,1.4734,1.06535e+09
2.01034,2.01087,0
1.99619,2.01977,0
1.98898,1.93223,0
1.53296,1.5368,1.06535e+09
1.47793,1.5094,1.06535e+09
1.94609,1.97251,0
1.9738,2.03432,0
1.4489,1.4582,1.06535e+09
2.02388,1.93264,0
1.97338,1.96077,0
2.06004,2.06701,0
2.01,2.02228,0
1.98083,1.97611,0
2.01055,1.99024,0
2.05071,2.11113,0
1.89673,2.02968,0
1.95217,2.02213,0
2.07179,1.98825,0
