x1,x2,y
1.5062,1.85494,1.06535e+09
1.27161,1.92814,1.06535e+09
1.66881,1.202,1.06535e+09
1.82887,1.52223,1.06535e+09
1.06652,1.67251,1.06535e+09
1.98178,1.26965,1.06535e+09
1.31105,2.72295,0
1.44026,1.98372,1.06535e+09
1.6083,1.35809,1.06535e+09
1.15686,1.48241,1.06535e+09
1.54303,1.39721,1.06535e+09
2.22037,2.79288,0
1.44783,2.12151,0
1.64497,2.57491,0
1.33882,1.05703,1.06535e+09
1.50887,1.47779,1.06535e+09
2.16013,2.23951,0
2.10695,1.71435,0
1.09196,1.15879,1.06535e+09
1.20742,1.34317,1.06535e+09
1.47348,1.24799,1.06535e+09
1.16576,1.94797,1.06535e+09
1.72782,1.63275,1.06535e+09
2.24564,1.54407,0
2.04018,1.88564,0
1.71497,1.54277,1.06535e+09
2.01381,2.23108,0
1.36546,1.83767,1.06535e+09
1.48117,1.5504,1.06535e+09
1.72898,1.94306,1.06535e+09
2.04311,2.02267,0
1.45697,1.63638,1.06535e+09
1.12072,1.37945,1.06535e+09
1.72069,1.48323,1.06535e+09
1.58995,1.78385,1.06535e+09
1.66285,1.44933,1.06535e+09
0.775649,1.71246,1.06535e+09
2.14236,1.65062,0
2.02533,2.74587,0
1.34975,1.729,1.06535e+09
2.02736,2.32738,0
1.40653,1.69447,1.06535e+09
2.03288,2.06464,0
2.25786,1.93076,0
1.97833,1.85935,0
1.20482,1.33761,1.06535e+09
2.14887,1.6005,0
1.60711,1.79938,1.06535e+09
1.55311,1.15976,1.06535e+09
2.76353,2.34502,0
1.23463,1.38973,1.06535e+09
1.32641,1.22759,1.06535e+09
2.42782,2.27818,0
1.05952,2.34186,0
2.37716,2.29283,0
2.45743,2.10816,0
1.63688,2.12727,0
1.80293,2.45397,0
1.94773,2.12721,0
1.79629,1.6113,1.06535e+09
1.83396,1.78319,0
1.57844,0.747549,1.06535e+09
1.92571,1.60839,1.06535e+09
1.63665,1.28215,1.06535e+09
1.03973,1.53159,1.06535e+09
1.48406,1.60618,1.06535e+09
2.48969,1.93318,0
1.80423,2.16678,0
2.04851,1.79815,0
2.03469,2.39913,0
1.41472,1.48452,1.06535e+09
1.75656,1.50703,1.06535e+09
2.43276,1.93356,0
1.93206,1.43428,1.06535e+09
1.0679,1.49764,1.06535e+09
1.71614,1.86584,1.06535e+09
1.21098,1.39492,1.06535e+09
1.66974,1.20284,1.06535e+09
1.9803,1.93741,0
1.68665,1.55767,1.06535e+09
1.28144,2.3462,0
2.11263,2.27594,0
1.25619,1.09203,1.06535e+09
1.73445,1.71679,1.06535e+09
2.01715,1.29405,1.06535e+09
1.34725,1.26666,1.06535e+09
1.82711,1.77066,0
1.58757,2.00289,1.06535e+09
2.74175,1.95594,0
2.00745,2.49143,0
1.1115,1.31003,1.06535e+09
2.04558,2.00019,0
2.00041,1.72356,0
2.46619,2.20909,0
2.40406,1.81791,0
2.16188,1.49019,1.06535e+09
0.694164,1.49393,1.06535e+09
1.90608,1.91745,0
2.03833,1.59469,0
1.71969,2.02535,0
2.10826,2.07664,0
1.52175,1.38819,1.06535e+09
1.74582,1.69865,1.06535e+09
1.299,1.73109,1.06535e+09
1.08964,1.47578,1.06535e+09
1.24823,1.58483,1.06535e+09
1.3223,1.45656,1.06535e+09
1.40928,1.90191,1.06535e+09
1.53999,1.70946,1.06535e+09
1.16347,1.78798,1.06535e+09
2.21414,1.63976,0
2.58048,1.61753,0
1.27416,2.11079,1.06535e+09
1.82853,1.583,1.06535e+09
1.72239,1.81634,0
1.14305,1.30532,1.06535e+09
1.98037,2.31578,0
1.98112,1.83753,0
1.54204,2.34106,0
1.3768,2.08775,1.06535e+09
0.91713,1.79362,1.06535e+09
1.34283,1.86918,1.06535e+09
2.12872,1.65462,0
1.86261,1.2278,1.06535e+09
1.34473,2.23967,0
1.35169,1.55645,1.06535e+09
1.30418,1.67753,1.06535e+09
1.84437,1.81978,0
2.50643,2.06714,0
1.42545,1.12301,1.06535e+09
2.40241,2.75941,0
1.99334,2.61978,0
1.05182,1.95081,1.06535e+09
1.61762,1.64812,0
1.94169,1.94414,0
1.88649,1.76251,0
2.0992,2.36749,0
1.36554,1.46569,1.06535e+09
2.02885,2.56305,0
2.51061,2.30183,0
1.88336,1.53304,1.06535e+09
0.876417,1.40319,1.06535e+09
1.88734,1.42755,1.06535e+09
1.95331,2.16526,0
2.16064,2.34984,0
1.26665,2.27427,0
1.78576,2.11235,0
1.66122,1.54892,1.06535e+09
1.63138,1.47276,1.06535e+09
1.53855,1.93466,1.06535e+09
2.14536,1.69945,0
2.0222,1.29596,1.06535e+09
1.663,1.80079,1.06535e+09
1.39007,0.948815,1.06535e+09
1.9456,1.47505,1.06535e+09
1.56824,2.28468,0
1.81673,2.27907,0
1.65057,1.5511,1.06535e+09
1.75345,1.68391,1.06535e+09
1.40392,1.14163,1.06535e+09
1.48657,1.29226,1.06535e+09
1.94233,1.21092,1.06535e+09
2.39943,1.75173,0
1.84683,1.94853,0
1.9007,2.14179,0
1.84002,1.18673,1.06535e+09
2.02992,1.98609,0
2.17792,1.71997,0
2.25616,2.09221,0
1.20564,1.34035,1.06535e+09
1.53083,1.3789,1.06535e+09
1.53521,1.50242,1.06535e+09
1.478,1.43217,1.06535e+09
0.957485,1.4431,1.06535e+09
2.23845,2.29293,0
1.72688,1.84314,0
2.00938,2.05458,0
2.18353,2.1973,0
1.56342,1.71308,1.06535e+09
1.84973,1.87743,0
1.41591,1.5841,1.06535e+09
2.30957,1.9252,0
1.66212,1.34622,1.06535e+09
1.25547,1.34344,1.06535e+09
1.93951,2.14989,0
1.45618,1.82574,1.06535e+09
1.43906,1.46627,1.06535e+09
1.24046,0.904221,1.06535e+09
2.11396,1.52104,1.06535e+09
2.10051,2.11244,0
1.5765,1.29467,1.06535e+09
1.82666,2.37265,0
1.90446,2.04744,0
2.2459,2.40395,0
1.90818,2.11339,0
2.51835,2.66137,0
1.63901,1.23744,1.06535e+09
1.88711,1.20129,1.06535e+09
1.88935,1.47981,1.06535e+09
1.9164,1.54537,1.06535e+09
