x1,x2,y
1.9177,1.97582,0
1.46193,1.57136,1.06535e+09
1.52813,1.45033,1.06535e+09
1.55481,1.50371,1.06535e+09
1.42775,1.52875,1.06535e+09
1.99696,1.87828,0
1.88517,2.12049,0
1.49004,1.58062,1.06535e+09
1.51805,1.47635,1.06535e+09
1.44281,1.49707,1.06535e+09
1.50717,1.48287,1.06535e+09
2.03673,2.13215,0
1.90797,2.02025,0
1.94083,2.09582,0
1.47314,1.42617,1.06535e+09
1.50148,1.4963,1.06535e+09
2.02669,2.03992,0
2.01783,1.95239,0
1.43199,1.44313,1.06535e+09
1.45124,1.47386,1.06535e+09
1.49558,1.458,1.06535e+09
1.44429,1.57466,1.06535e+09
1.53797,1.52213,1.06535e+09
1.62427,1.50734,1.06535e+09
2.0067,1.98094,0
1.53583,1.50713,1.06535e+09
2.0023,2.03851,0
1.47758,1.55628,1.06535e+09
1.49686,1.5084,1.06535e+09
1.53816,1.57384,1.06535e+09
2.00718,2.00378,0
1.49283,1.52273,1.06535e+09
1.43679,1.47991,1.06535e+09
1.53678,1.49721,1.06535e+09
1.51499,1.54731,1.06535e+09
1.52714,1.49156,1.06535e+09
1.37927,1.53541,1.06535e+09
2.02373,1.94177,0
2.00422,2.12431,0
1.47496,1.53817,1.06535e+09
2.00456,2.05456,0
1.48442,1.53241,1.06535e+09
2.00548,2.01077,0
2.04298,1.98846,0
1.99639,1.97656,0
1.4508,1.47293,1.06535e+09
2.02481,1.93342,0
1.93452,1.96656,0
1.50885,1.44329,1.06535e+09
2.12725,2.0575,0
1.45577,1.48162,1.06535e+09
1.47107,1.4546,1.06535e+09
2.0713,2.04636,0
1.84325,2.05698,0
2.06286,2.0488,0
2.07624,2.01803,0
1.93948,2.02121,0
1.96716,2.07566,0
1.99129,2.0212,0
1.54938,1.51855,1.06535e+09
1.97233,1.96387,0
1.51307,1.37459,1.06535e+09
1.98762,1.93473,0
1.52278,1.46369,1.06535e+09
1.42329,1.50526,1.06535e+09
1.49734,1.5177,1.06535e+09
2.08161,1.98886,0
1.55071,1.61113,1.06535e+09
2.00808,1.96636,0
2.00578,2.06652,0
1.48579,1.49742,1.06535e+09
1.95943,1.91784,0
2.07213,1.98893,0
1.98868,1.90571,0
1.42798,1.49961,1.06535e+09
1.53602,1.56097,1.06535e+09
1.45183,1.48249,1.06535e+09
1.52829,1.45047,1.06535e+09
1.99672,1.98957,0
1.53111,1.50961,1.06535e+09
1.88024,2.0577,0
2.01877,2.04599,0
1.45937,1.43201,1.06535e+09
1.95574,1.9528,0
1.58619,1.46568,1.06535e+09
1.47454,1.46111,1.06535e+09
1.97118,1.96178,0
1.93126,2.00048,0
2.12363,1.99266,0
2.00124,2.08191,0
1.43525,1.46834,1.06535e+09
2.0076,2.00003,0
2.00007,1.95393,0
2.0777,2.03485,0
2.06734,1.96965,0
