x1,x2,y
-0.821745,0.595576,0
0.883067,0.464999,0
0.08629,0.94497,0
-0.59348,0.105525,1.06535e+09
0.626364,0.331679,1.06535e+09
0.06675,0.751154,1.06535e+09
0.952205,0.186881,0
0.613102,0.09758,1.06535e+09
-0.595879,-0.880864,0
-0.980574,-0.178032,0
0.651297,-0.601125,0
0.366365,-0.936182,0
-0.651602,-0.289211,1.06535e+09
0.821267,-0.469163,0
-0.219818,-0.665154,1.06535e+09
1.04127,-0.173499,0
0.460945,-0.917436,0
-0.09511,0.693601,1.06535e+09
-1.06508,-0.233775,0
-0.675915,0.750065,0
-0.650785,-0.087814,1.06535e+09
-0.497369,0.892241,0
-0.299244,-0.766157,1.06535e+09
0.053013,-0.726384,1.06535e+09
0.72212,0.045809,1.06535e+09
0.318313,0.55967,1.06535e+09
-0.413378,-0.933229,0
0.665249,-0.748229,0
-0.117594,-0.7105,1.06535e+09
-0.930226,-0.426586,0
-0.233363,-0.994952,0
0.72033,0.78858,0
-0.736052,-0.572052,0
-0.193913,0.705706,1.06535e+09
0.625907,0.156,1.06535e+09
-0.36989,0.921975,0
1.06082,-0.054569,0
0.368009,0.530058,1.06535e+09
0.154061,-0.724978,1.06535e+09
-0.667429,0.80962,0
-0.552913,0.377077,1.06535e+09
0.675915,-0.116466,1.06535e+09
-0.76037,-0.156777,1.06535e+09
0.940215,0.245336,0
0.296924,0.557798,1.06535e+09
0.066884,-0.697091,1.06535e+09
0.323,-0.834241,0
0.630142,0.746476,0
-0.883138,-0.484767,0
-0.743618,0.039394,1.06535e+09
-0.288346,0.56569,1.06535e+09
-0.91825,-0.232017,0
0.425476,-0.46325,1.06535e+09
-0.00212,1.09595,0
0.283816,0.549147,1.06535e+09
0.69437,-0.742755,0
-0.065424,-0.697385,1.06535e+09
-0.621742,0.842321,0
0.840163,0.520724,0
0.253062,1.03288,0
-0.572454,-0.404251,1.06535e+09
-0.922823,0.234263,0
-0.84983,-0.448744,0
0.668803,-0.782927,0
-0.61131,0.433296,1.06535e+09
0.951553,0.051254,0
