x1,x2,y
0.795898,-1.19714,1.06535e+09
0.794749,1.17364,0
-0.213685,0.524093,0
-1.34962,0.556302,0
-0.864008,0.99588,0
1.90307,0.363062,1.06535e+09
0.457982,0.640204,0
-0.002637,0.292141,1.06535e+09
1.75534,0.159172,1.06535e+09
0.826233,-0.534704,1.06535e+09
0.315477,0.500891,0
0.137056,-0.309576,1.06535e+09
1.31459,0.230658,0
-1.4043,0.535015,0
-1.06373,0.747763,0
-1.02656,0.346081,0
-0.071559,1.3852,0
0.272137,0.615935,0
1.66736,-0.368867,1.06535e+09
-0.031833,0.98739,0
1.74497,-0.026694,1.06535e+09
0.492115,-0.103456,1.06535e+09
1.10804,-0.624849,1.06535e+09
-0.227319,0.177192,1.06535e+09
1.90931,0.48844,1.06535e+09
-0.938874,0.260022,0
1.7049,-0.321977,1.06535e+09
1.89362,0.744741,0
-0.244033,0.706718,0
0.324125,-0.33872,1.06535e+09
1.66224,0.614325,0
0.981539,1.15307,0
-0.378208,1.06172,0
-0.022668,0.474724,1.06535e+09
0.960654,0.664672,0
-0.721747,0.646832,0
1.33422,1.00013,0
-0.391396,0.796593,0
-0.138103,0.610418,0
0.14588,-0.096245,1.06535e+09
1.29969,0.4967,0
2.47021,0.455728,1.06535e+09
-0.196884,0.709314,0
1.77848,-0.787388,1.06535e+09
1.09062,0.340248,0
0.609915,0.164708,0
0.458315,0.753803,0
-0.07017,-0.044283,1.06535e+09
0.390206,-0.978584,1.06535e+09
-1.30822,-0.282313,0
-0.907704,-0.076562,0
1.48159,-0.843251,1.06535e+09
-0.05637,0.487322,1.06535e+09
-1.27012,0.369228,0
1.45673,-0.362613,1.06535e+09
-0.958023,-0.009052,0
0.628073,1.23136,0
0.702263,-0.224699,1.06535e+09
1.33577,0.546425,0
0.676385,-0.254009,1.06535e+09
-1.18402,0.668612,0
0.739176,0.86627,0
-0.248489,0.843038,0
0.451789,0.262779,0
1.90213,-0.220348,1.06535e+09
-0.007194,0.434602,1.06535e+09
0.129419,0.969485,0
1.43767,-0.624038,1.06535e+09
0.908589,0.447757,0
-0.371573,0.78759,0
0.302257,0.16648,1.06535e+09
-0.735976,0.915006,0
-0.538924,0.733103,0
-0.098421,0.06175,1.06535e+09
1.86761,-0.322404,1.06535e+09
1.56584,-0.397925,1.06535e+09
-0.46103,0.686163,0
1.50606,-0.196096,1.06535e+09
0.087326,0.558339,0
1.76619,-0.307622,1.06535e+09
1.89594,0.05411,1.06535e+09
1.94911,-0.090283,1.06535e+09
1.17297,-0.659438,1.06535e+09
0.566868,0.412206,0
1.16048,0.006224,0
1.45628,-0.4639,1.06535e+09
0.411937,0.661943,0
-0.029434,1.38281,0
-0.354006,0.381828,0
0.274815,0.739988,0
2.35729,0.013726,1.06535e+09
-1.57776,0.296981,0
0.791415,0.286531,0
0.18109,0.345696,1.06535e+09
0.857735,0.59521,0
2.33799,-0.218456,1.06535e+09
-0.139027,-0.125342,1.06535e+09
-0.058655,-0.148835,1.06535e+09
-0.025862,-0.450907,1.06535e+09
-0.832467,-0.725169,0
-0.458115,0.757866,0
1.1533,0.225943,0
1.73343,0.614378,0
-1.29355,0.093364,0
0.333129,1.16498,0
1.01939,0.768041,0
1.50206,-0.282017,1.06535e+09
0.035377,-0.693459,1.06535e+09
1.2329,-0.236285,1.06535e+09
1.15814,-0.487456,1.06535e+09
-0.070215,1.58955,0
-1.31158,-0.085563,0
0.341927,0.040105,1.06535e+09
0.491203,0.274263,0
0.619945,-0.495346,1.06535e+09
1.0357,-0.804459,1.06535e+09
1.26521,-0.433338,1.06535e+09
1.25112,-0.710083,1.06535e+09
-0.649921,0.826084,0
0.600175,-0.619757,1.06535e+09
0.206804,0.481387,1.06535e+09
-0.450866,0.332657,0
-1.00772,1.49363,0
0.974068,-0.426812,1.06535e+09
1.98076,-0.237945,1.06535e+09
1.63335,0.072615,1.06535e+09
1.48093,0.173659,1.06535e+09
-0.594034,1.08989,0
0.753545,0.467168,0
0.758191,-0.297422,1.06535e+09
0.079897,0.761589,0
1.90989,-0.156361,1.06535e+09
0.317429,-0.671152,1.06535e+09
1.67502,0.126427,1.06535e+09
1.02499,-0.418019,1.06535e+09
-0.249948,0.503665,0
1.73996,-0.07058,1.06535e+09
1.28062,0.084759,0
-0.424655,0.161798,0
2.16052,0.121776,1.06535e+09
-0.884253,0.374706,0
-0.694504,0.063971,0
-0.769157,-0.023994,0
-0.006868,-0.046406,1.06535e+09
0.466969,-0.046657,1.06535e+09
-0.400277,0.477908,0
0.78783,-0.61726,1.06535e+09
-0.369144,0.726002,0
0.049978,0.255262,1.06535e+09
0.61359,0.079112,1.06535e+09
-0.831517,0.505039,0
-0.055326,-0.713713,1.06535e+09
-0.048194,0.031118,1.06535e+09
-1.30124,0.54762,0
0.837907,0.128103,0
1.69407,0.251895,1.06535e+09
1.76468,-0.995378,1.06535e+09
0.732006,-0.791335,1.06535e+09
0.567492,0.488891,0
1.68594,-0.529995,1.06535e+09
-0.524913,1.42047,0
0.722001,-0.017352,1.06535e+09
0.828235,-0.050026,1.06535e+09
0.744996,0.470542,0
0.937568,-0.679368,1.06535e+09
0.76156,-0.186642,1.06535e+09
-0.171682,0.019979,1.06535e+09
0.293019,1.08148,0
1.60731,0.086915,1.06535e+09
0.757697,-0.502338,1.06535e+09
1.15751,0.328959,0
0.659446,0.717964,0
0.571223,0.077938,1.06535e+09
1.05061,-0.294762,1.06535e+09
