x1,x2,y
0.956811,-0.61614,1.06535e+09
0.68302,0.821167,0
-0.321862,0.869977,0
-1.04298,0.251596,0
-0.332354,0.977748,0
1.91095,0.136316,1.06535e+09
0.879373,0.329336,0
-0.410279,0.774277,0
1.93795,0.256119,1.06535e+09
0.70954,-0.463692,1.06535e+09
0.52031,0.773172,0
0.204533,-0.154358,1.06535e+09
1.87241,0.306533,1.06535e+09
-0.904827,0.583643,0
-0.916009,0.510289,0
-0.835597,0.560552,0
0.117271,1.05412,0
0.817123,0.417014,0
1.3777,-0.434392,1.06535e+09
-0.066834,0.995624,0
1.65073,-0.233669,1.06535e+09
0.505513,-0.326163,1.06535e+09
0.678342,-0.448443,1.06535e+09
-0.026769,0.310533,1.06535e+09
1.87389,0.082542,1.06535e+09
-0.908097,0.403219,0
1.32873,-0.443109,1.06535e+09
1.07922,0.457796,0
-0.358667,0.888061,0
0.379274,-0.300316,1.06535e+09
1.02752,0.464632,0
0.422599,0.984238,0
-0.449858,0.915068,0
0.04124,0.225596,1.06535e+09
0.840095,0.592508,0
-0.736236,0.669104,0
0.843582,0.722152,0
-0.063416,0.494439,1.06535e+09
-0.306802,0.885261,0
0.126333,0.001095,1.06535e+09
0.922766,0.525271,0
2.07744,0.453327,1.06535e+09
-0.519875,0.794397,0
1.72408,-0.298702,1.06535e+09
0.996675,0.230993,0
0.830439,0.431574,0
0.365093,0.907358,0
0.060137,0.070818,1.06535e+09
0.404949,-0.417983,1.06535e+09
-1.04661,0.041879,0
-0.978033,0.091788,0
1.30921,-0.525143,1.06535e+09
-0.575519,0.692733,0
-0.995657,0.344091,0
1.46526,-0.380663,1.06535e+09
-0.931437,0.312849,0
0.444344,0.966194,0
0.754375,-0.430738,1.06535e+09
1.72204,0.006958,1.06535e+09
0.917838,0.172715,0
-0.747899,0.736996,0
0.404516,0.928791,0
0.274156,0.911778,0
0.093727,0.286178,1.06535e+09
1.65843,-0.280587,1.06535e+09
0.349336,-0.190127,1.06535e+09
0.506502,0.839287,0
1.48278,-0.412926,1.06535e+09
0.570366,0.795,0
-0.624196,0.746326,0
0.072238,0.254784,1.06535e+09
-0.430943,0.926715,0
-0.460303,0.868634,0
0.139987,-0.059039,1.06535e+09
1.80593,-0.144109,1.06535e+09
1.6086,-0.305361,1.06535e+09
-0.658166,0.711439,0
1.68416,-0.194521,1.06535e+09
0.021138,0.405175,1.06535e+09
1.81812,-0.101249,1.06535e+09
1.95897,0.228409,1.06535e+09
1.33375,-0.41301,1.06535e+09
1.21973,-0.504412,1.06535e+09
0.7051,0.635786,0
0.981728,0.271229,0
1.41092,-0.423739,1.06535e+09
0.806161,0.498307,0
